Book_Title,Book_Rating,Sentiment_Understandability,How would you rate the conceptual clarity of the book?_score,How engaging and interactive were the examples and exercises?_score,"How helpful were the visuals, diagrams, and illustrations?_score","Overall, how satisfied are you with this textbook?_score",Would you recommend this book to other students?_score,Sentiment_Value_For_Money,Was the book affordable given your financial situation?_score,Sentiment_Exam_Utility,How likely are you to use this book again in future courses?_score,Sentiment_Avg_Rating
101 TOUGH CONVERSATIONS TO HAVE...,3.5857142857142854,4.0,3.142857142857143,3.2857142857142856,3.4285714285714284,4.142857142857143,4.142857142857143,2.5714285714285716,3.4285714285714284,4.285714285714286,3.4285714285714284,3.59
101 TRAUMA-INFORMED INTERVENTIONS,3.3000000000000003,3.0,3.7142857142857144,3.2142857142857144,3.5,4.142857142857143,3.4285714285714284,3.0714285714285716,2.2142857142857144,3.642857142857143,3.0714285714285716,3.3
1177 B.C.:YEAR CIVILIZATION COLLAPSED,3.25,3.0,3.5,3.0,3.5,4.0,2.5,3.5,2.5,3.5,3.5,3.25
12 MILLION BLACK VOICES,3.1714285714285713,3.2857142857142856,2.7142857142857144,3.857142857142857,3.142857142857143,3.5714285714285716,3.4285714285714284,3.0,2.2857142857142856,3.4285714285714284,3.0,3.1699999999999995
12 MONTHS TO $1 MILLION,3.2,2.0,3.0,5.0,2.0,4.0,2.0,5.0,4.0,2.0,3.0,3.2
12 WEEK YEAR,3.088235294117647,3.1176470588235294,2.823529411764706,3.235294117647059,3.1176470588235294,3.411764705882353,3.0588235294117645,2.0,2.6470588235294117,3.7058823529411766,3.764705882352941,3.09
12-HOUR ART EXPERT,2.8,4.0,2.5,3.0,3.5,2.0,2.0,3.5,2.0,3.5,2.0,2.8
12-LEAD ECG ART OF INTERPRETATION,3.3833333333333333,3.2666666666666666,3.433333333333333,3.45,3.0833333333333335,3.683333333333333,3.5,3.15,3.1,3.7333333333333334,3.433333333333333,3.38
12-LEAD ECG F/ACUTE+CRITICAL CARE...,3.3878378378378375,3.3378378378378377,3.0,3.5945945945945947,3.608108108108108,3.77027027027027,3.554054054054054,3.2162162162162162,2.7567567567567566,3.6486486486486487,3.391891891891892,3.39
14-18:UNDERSTANDING THE GREAT WAR,3.1571428571428575,3.2857142857142856,1.8571428571428572,3.4285714285714284,3.2857142857142856,3.857142857142857,3.142857142857143,3.2857142857142856,3.142857142857143,2.4285714285714284,3.857142857142857,3.16
15 VIEWS OF MIAMI,3.4,3.6666666666666665,3.6666666666666665,2.3333333333333335,3.0,5.0,3.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.4
"150 AM.FOLK SONGS TO SING,READ+PLAY",3.4,3.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,1.0,3.0,3.4
"16"" STRETCHER BARS",3.6,2.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,3.0,2.0,3.6
16' STRETCHER BARS,3.375,1.75,3.25,4.25,4.25,4.0,2.5,3.75,3.75,3.25,3.0,3.38
1619 PROJECT,3.3,3.8,2.4,3.6,3.8,3.8,3.2,2.4,2.4,3.8,3.8,3.2980000000000005
17 GRANDS EXERCISES JOURNALIERS DE...,3.0,1.0,2.0,3.0,1.0,4.0,2.0,5.0,5.0,3.0,4.0,3.0
17 INDISPUTABLE LAWS OF TEAMWORK,3.3066666666666666,2.6333333333333333,3.2666666666666666,3.2666666666666666,3.2666666666666666,3.966666666666667,3.4,3.3,2.7333333333333334,3.8,3.433333333333333,3.308666666666667
1774: LONG YEAR OF REVOLUTION,3.05,3.0,3.5,2.5,2.0,4.5,2.5,2.5,2.5,4.0,3.5,3.05
180 DAYS,3.4,3.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.4
1912 ELECTION+POWER OF PROGRESSIVISM,3.2,3.75,3.0,3.0,2.25,3.0,3.5,2.75,3.0,4.0,3.75,3.2
1950:CROSSROADS OF AMER.RELIGIOUS LIFE,3.4333333333333336,4.0,3.6666666666666665,3.3333333333333335,3.3333333333333335,3.3333333333333335,4.333333333333333,2.3333333333333335,2.6666666666666665,3.6666666666666665,3.6666666666666665,3.43
1968:TODAY'S AUTHORS EXPLORE A YEAR...,2.8,2.0,3.0,4.0,3.0,2.0,1.0,5.0,1.0,3.0,4.0,2.8
1984,3.3925925925925924,3.037037037037037,3.4444444444444446,3.5925925925925926,3.7037037037037037,4.074074074074074,3.4444444444444446,2.6296296296296298,3.037037037037037,3.3703703703703702,3.5925925925925926,3.3933333333333335
1989 DEMOCRATIC REVOLUTIONS AT COLD...,2.9,1.6666666666666667,2.3333333333333335,3.3333333333333335,2.3333333333333335,4.0,3.0,1.3333333333333333,2.0,4.666666666666667,4.333333333333333,2.9
"2"" BINDER",3.325,2.875,4.0,3.125,3.25,3.5,4.0,2.875,3.375,2.75,3.5,3.3249999999999997
20' STRETCHER BARS,3.2,3.0,4.5,3.5,3.0,4.0,3.5,2.5,1.5,3.5,3.0,3.2
200 MOST FREQUENTLY ASKED LEGAL QUEST.,3.3,2.5,3.5,4.0,3.5,3.0,3.5,3.0,2.5,2.5,5.0,3.3
2000 YEARS OF MAYAN LITERATURE,3.475,4.5,3.5,3.0,3.25,4.25,4.0,2.25,3.5,4.25,2.25,3.48
2001:SPACE ODYSSEY,3.2,2.5,2.0,3.0,3.5,2.5,5.0,4.0,2.0,4.0,3.5,3.2
2018 INTERNATIONAL BUILDING CODE,3.0818181818181816,2.090909090909091,2.4545454545454546,3.4545454545454546,3.5454545454545454,4.2727272727272725,3.1818181818181817,2.090909090909091,2.1818181818181817,3.5454545454545454,4.0,3.08
2020 COMMISSION REPORT ON N.KOREAN...,3.7,5.0,2.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,3.7
2021 CERT.SPEC.OF SPIRITS STUDY GUIDE,3.266666666666667,2.875,2.875,3.7083333333333335,3.5,4.041666666666667,3.375,3.1666666666666665,2.5416666666666665,3.125,3.4583333333333335,3.27
2021 CERTIFIED SPECIALISTS OF SPIRITS S,2.9166666666666665,3.0,3.0,2.6666666666666665,3.1666666666666665,2.8333333333333335,2.8333333333333335,2.3333333333333335,2.6666666666666665,3.1666666666666665,3.5,2.92
2021 FEDERAL RULES OF EVIDENCE,3.1454545454545455,3.1363636363636362,2.6818181818181817,3.6363636363636362,3.1818181818181817,3.590909090909091,3.090909090909091,2.227272727272727,3.3636363636363638,3.227272727272727,3.3181818181818183,3.15
2022 CERTIFIED SPECIALIST OF SPIRITS ST,3.175,2.0,3.25,3.5,3.25,3.25,3.5,3.0,3.75,2.75,3.5,3.18
2022 FEDERAL RULES OF EVIDENCE,3.2235294117647055,3.588235294117647,2.588235294117647,3.235294117647059,3.1176470588235294,3.5294117647058822,3.4705882352941178,3.1176470588235294,2.7058823529411766,3.235294117647059,3.6470588235294117,3.22
2030:HOW TODAY'S BIGGEST TRENDS WILL...,3.025,2.25,3.75,3.5,2.75,2.75,3.25,2.25,3.0,3.25,3.5,3.02
"21 IRREFUTABLE LAWS OF LEADER.,REV.+UPD",3.3346153846153848,2.6923076923076925,3.1923076923076925,3.730769230769231,3.5384615384615383,3.730769230769231,3.5,3.269230769230769,2.3846153846153846,3.5384615384615383,3.769230769230769,3.337307692307692
21 IRREFUTABLE LAWS OF LEADERSHIP,3.7,5.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,3.0,3.7
21 IRREFUTABLE LAWS OF LEADERSHIP-WKBK.,3.18,3.0,2.6,3.4,2.6,4.4,2.6,2.6,3.2,3.6,3.8,3.18
21ST CENTURY ASTRONOMY-W/ACCESS,3.19,2.6,2.5,3.2,3.8,3.9,3.6,2.9,2.8,3.2,3.4,3.19
21ST CENTURY ASTRONOMY:SOLAR..-TEXT,3.22,3.8,3.6,2.8,3.6,3.0,3.0,3.2,2.8,2.6,3.8,3.22
21ST CENTURY ASTRONOMY:STARS..-TEXT,3.3666666666666667,2.6666666666666665,3.0,2.6666666666666665,2.3333333333333335,4.666666666666667,4.0,4.0,2.6666666666666665,4.0,3.6666666666666665,3.3699999999999997
21ST CENTURY CAREERS W/...SOCIOLOGY,3.1,3.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.1
21ST CENTURY ETHICAL TOOLBOX,3.1,2.0,2.4,2.8,4.2,3.6,3.0,2.8,2.2,3.4,4.6,3.1
21ST CENTURY MEETING+EVENT TECHNOLOGIES,3.1,2.8,3.2,3.4,3.2,3.6,3.2,2.0,2.6,3.6,3.4,3.1
21ST CENTURY SKILLS-W/DVD (PB),3.238888888888889,2.861111111111111,2.5833333333333335,3.3055555555555554,3.3333333333333335,3.9166666666666665,3.5555555555555554,3.138888888888889,2.9722222222222223,3.5277777777777777,3.1944444444444446,3.24
22 IMMUTABLE LAWS OF MARKETING,3.7,2.0,3.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,3.7
24 HOURS IN ANCIENT ROME,3.282608695652174,3.260869565217391,2.8260869565217392,3.1739130434782608,3.652173913043478,3.608695652173913,3.782608695652174,2.739130434782609,2.9130434782608696,3.3043478260869565,3.5652173913043477,3.28
24 HOURS WITH 24 LAWYERS,3.2,2.875,3.0,3.25,3.75,3.5625,3.0625,3.125,2.625,3.375,3.375,3.2
24 VARIED SCALES...ALL MAJOR+MINOR KEYS,3.7,5.0,5.0,2.0,2.0,4.0,5.0,4.0,2.0,4.0,4.0,3.7
24/7:LATE CAPITALISM,3.085714285714286,2.5714285714285716,2.5714285714285716,3.7142857142857144,3.142857142857143,4.0,3.5714285714285716,2.0,2.142857142857143,3.4285714285714284,3.7142857142857144,3.09
25 ESSENTIAL SKILLS F/SUCCESSFUL...,3.1,2.75,2.25,2.75,4.25,3.25,4.25,2.5,2.0,4.0,3.0,3.1
25 ESSENTIAL SKILLS+STRAT.F/PROFESS...,3.310126582278481,3.0632911392405062,2.8987341772151898,3.4430379746835444,3.5949367088607596,3.721518987341772,3.569620253164557,3.0632911392405062,2.8607594936708862,3.430379746835443,3.4556962025316458,3.3107594936708864
26 ITALIAN SONGS+ARIAS-MED.-LOW-W/CD,3.1666666666666665,3.6666666666666665,3.0,3.0,4.0,4.0,2.3333333333333335,2.3333333333333335,2.0,3.3333333333333335,4.0,3.17
26 ITALIAN SONGS+ARIAS-MED.HIGH-W/CD,3.4,2.0,5.0,2.0,3.0,3.0,5.0,2.0,5.0,4.0,3.0,3.4
272,3.375,3.25,2.5,4.0,3.75,3.5,3.75,3.75,3.5,2.5,3.25,3.38
28 ITALIAN SONGS+ARIAS 17TH...-W/ACCESS,3.1999999999999997,2.6666666666666665,2.0,3.6666666666666665,4.0,4.333333333333333,2.6666666666666665,1.6666666666666667,2.6666666666666665,4.0,4.333333333333333,3.2000000000000006
28 ITALIAN SONGS+ARIAS MEDIUM...-W/CODE,3.477777777777778,3.2222222222222223,3.3333333333333335,3.3333333333333335,4.111111111111111,4.333333333333333,3.4444444444444446,3.7777777777777777,2.888888888888889,3.5555555555555554,2.7777777777777777,3.48
28 ITALIAN SONGS+ARIAS OF 17TH+18TH...,3.7,5.0,4.0,3.0,5.0,3.0,5.0,2.0,1.0,5.0,4.0,3.7
28 STORIES OF AIDS IN AFRICA,3.3000000000000003,3.3333333333333335,3.6666666666666665,3.0,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.0,2.0,3.6666666666666665,3.6666666666666665,3.2999999999999994
29 CDF 1910 OSHA GEN.IND.REG..,3.46,4.0,2.8,4.4,3.8,3.4,3.8,3.4,3.8,2.2,3.0,3.46
29 CFR 1910 OSHA GEN.IND.REG..(1/21),3.34,3.4,2.8,3.4,3.2,4.0,3.8,3.4,2.2,4.2,3.0,3.34
29 CFR 1910 OSHA GEN.IND.REG..(7/23),2.6,2.0,2.0,3.5,2.5,4.0,3.5,1.0,2.5,2.0,3.0,2.6
29 CFR 1910 OSHA GEN.IND.REG..(MILL.C1),3.2885714285714283,2.857142857142857,3.257142857142857,3.6857142857142855,3.3714285714285714,3.5142857142857142,3.2857142857142856,3.057142857142857,2.857142857142857,3.4,3.6,3.29
29 CFR 1910 OSHA GEN.IND.REG..(MILL.C3),2.7,2.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,5.0,3.0,2.7
29 CFR 1910 OSHA GEN.IND.REG..(MILL.D1),3.4,2.6,2.9,3.8,3.9,3.9,3.9,2.6,3.6,3.7,3.1,3.4
29 CFR 1926 OSHA:CONSTR.IND...(MILL.C1),3.125,3.0,3.25,3.25,4.0,3.25,3.25,2.75,2.25,3.5,2.75,3.12
29 CFR 1926 OSHA:CONSTR.IND...(MILL.C2),2.96,2.2,2.4,3.2,3.0,2.8,3.4,1.8,3.0,3.6,4.2,2.958
29 CFR 1926 OSHA:CONSTR.IND.REG..(1/21),3.533333333333333,2.6666666666666665,4.333333333333333,3.3333333333333335,4.0,3.6666666666666665,3.0,2.6666666666666665,3.3333333333333335,4.666666666666667,3.6666666666666665,3.53
29 CFR 1926 OSHA:CONSTR.IND.REG..(7/23),3.1,2.0,2.0,2.0,4.0,3.0,5.0,5.0,1.0,4.0,3.0,3.1
29 CFR 1926 OSHA:CONSTR.IND.REG..(C1),3.12,2.6,2.4,4.0,3.2,3.4,3.6,1.6,3.4,3.0,4.0,3.12
3-MINUTE READING ASSESSMENTS:GRADE 1-4,3.65,4.5,3.75,3.5,4.25,3.75,3.75,3.5,2.25,3.75,3.5,3.65
3-POCKET BIB APRON,3.152173913043478,3.0434782608695654,2.847826086956522,3.3260869565217392,3.347826086956522,3.4782608695652173,3.4130434782608696,2.9565217391304346,2.869565217391304,3.0217391304347827,3.217391304347826,3.15
30 ESSEN.SKILLS F/QUALITATIVE RESEARCH.,3.4166666666666665,3.0833333333333335,3.3333333333333335,3.25,2.8333333333333335,4.25,3.3333333333333335,3.1666666666666665,3.3333333333333335,3.75,3.8333333333333335,3.4158333333333335
3D ART ESSENTIALS,2.95,1.0,4.0,4.5,4.0,2.0,4.0,1.0,2.0,4.5,2.5,2.95
3D ASSET DEVELOPMENT FOR BIOCHEMICAL SI,3.3899999999999997,3.6,3.1,3.8,3.6,4.3,3.6,2.5,2.7,3.6,3.1,3.3899999999999997
3P-EBK:GUIDE COMPUTER FORENSIC S/INVEST,3.19,2.3,3.8,4.1,3.1,3.7,3.7,2.1,2.4,3.1,3.6,3.19
4 AM,2.9,4.0,3.0,1.0,4.0,4.0,3.0,1.0,1.0,3.0,5.0,2.9
40 PROGRESSIVE STUDIES FOR TROMBONE,3.1666666666666665,4.666666666666667,3.0,3.3333333333333335,2.6666666666666665,3.3333333333333335,3.6666666666666665,2.6666666666666665,1.6666666666666667,3.6666666666666665,3.0,3.1666666666666665
40 SHORT STORIES:PORTABLE ANTHOLOGY,3.22,2.6,4.0,2.6,2.8,3.8,3.0,3.4,2.6,3.6,3.8,3.22
45 TECH.EVERY COUNS..(PEARSON+),3.1875,2.625,3.25,4.5,2.875,3.375,3.5,1.75,2.5,3.625,3.875,3.19
45 TECH.EVERY COUNSELOR SHOULD KNOW,3.1525,3.15,2.7,2.975,3.425,3.35,3.225,3.0,2.825,3.4,3.475,3.1505
45 TECH.EVERY COUNSELOR...(PEARSON+),3.22,3.5,3.5,3.8,2.3,3.7,3.4,2.0,3.1,3.4,3.5,3.221
"48 FAMOUS STUDIES,1ST+3RD PART",3.15,2.5,2.0,3.5,5.0,3.0,3.5,2.5,3.0,2.5,4.0,3.15
48 LAWS OF POWER,3.3666666666666667,3.25,3.1666666666666665,3.3333333333333335,3.5833333333333335,3.75,4.0,3.0,2.5,3.1666666666666665,3.9166666666666665,3.3699999999999997
498 CASE PACKET,2.8,1.0,4.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,5.0,2.8
5 LOVE LANGUAGES:SINGLES EDITION,2.9333333333333336,2.0,2.3333333333333335,3.3333333333333335,2.6666666666666665,4.0,3.6666666666666665,3.0,2.3333333333333335,3.3333333333333335,2.6666666666666665,2.93
5-MINUTE CLINICAL CONSULT 2021-W/ACCESS,3.3,3.0597014925373136,3.298507462686567,3.5671641791044775,3.4776119402985075,3.8059701492537314,3.343283582089552,3.044776119402985,2.5970149253731343,3.2686567164179103,3.537313432835821,3.3
5-MINUTE CLINICAL CONSULT 2022-W/ACCESS,3.231578947368421,2.6140350877192984,2.912280701754386,3.6140350877192984,3.4210526315789473,3.7719298245614037,3.473684210526316,2.8421052631578947,3.0526315789473686,3.43859649122807,3.175438596491228,3.2299999999999995
5-MINUTE CLINICAL CONSULT 2023-W/ACCESS,3.217142857142857,2.4285714285714284,2.857142857142857,3.4857142857142858,3.4857142857142858,3.657142857142857,3.742857142857143,2.657142857142857,2.914285714285714,3.4285714285714284,3.5142857142857142,3.22
5-MINUTE CLINICAL CONSULT 2024-W/ACCESS,3.7,4.0,2.0,5.0,2.0,5.0,5.0,3.0,2.0,4.0,5.0,3.7
5-MINUTE CLINICAL CONSULT 2025,3.12,3.6,2.4,3.2,3.2,3.8,3.6,1.4,2.6,4.0,3.4,3.12
5-PIECE ASSESSMENT TOOL KIT,3.45,3.4444444444444446,3.0555555555555554,3.9444444444444446,3.611111111111111,3.611111111111111,3.5,3.4444444444444446,2.5555555555555554,3.9444444444444446,3.388888888888889,3.45
50 ESSAYS:PORTABLE ANTHOLOGY,3.7,2.0,5.0,4.0,5.0,4.0,3.0,5.0,1.0,4.0,4.0,3.7
50 GREAT MYTHS OF POPULAR PSYCHOLOGY,3.7,5.0,3.0,5.0,2.0,4.0,5.0,2.0,3.0,3.0,5.0,3.7
50 INSTR.ROUTINES TO DEV (PEARSON+),3.4,4.0,2.0,3.3333333333333335,3.6666666666666665,4.333333333333333,4.333333333333333,2.0,3.3333333333333335,4.666666666666667,2.3333333333333335,3.4
50 INSTRUCTIONAL ROUTINES TO DEV...LIT.,3.725,3.25,2.5,3.75,3.75,5.0,4.0,3.75,3.5,4.25,3.5,3.725
50 INSTRUCTIONAL...(PEARSON+),3.0,5.0,3.0,2.0,4.0,5.0,3.0,1.0,2.0,2.0,3.0,3.0
50 LITERACY STRAT.(PEARSON+),3.3333333333333335,3.0,4.0,3.0,4.0,3.6666666666666665,3.3333333333333335,1.3333333333333333,3.0,3.6666666666666665,4.333333333333333,3.33
50 LITERACY STRATEGIES:STEP BY STEP(PB),3.3600000000000003,2.8,3.5,3.8,3.4,3.75,3.7,3.1,2.85,3.65,3.05,3.3634999999999997
50 MYTHS+LIES THAT THREATEN AMERICA'S..,2.925,2.75,3.25,3.25,3.5,3.0,2.875,2.5,1.875,3.25,3.0,2.9250000000000003
50 ONE-MINUTE TIPS F/TRAINERS,3.533333333333333,3.0,4.0,3.0,4.333333333333333,4.333333333333333,4.333333333333333,2.0,2.3333333333333335,3.3333333333333335,4.666666666666667,3.53
50 SOCIAL STUDIES STRAT...-ACCESS,3.3363636363636364,3.5454545454545454,2.909090909090909,4.090909090909091,3.5454545454545454,4.0,2.6363636363636362,2.272727272727273,2.8181818181818183,3.4545454545454546,4.090909090909091,3.3399999999999994
50 SOCIAL STUDIES STRATEGIES FOR K-8,3.5666666666666664,4.0,4.666666666666667,4.666666666666667,3.0,3.6666666666666665,3.0,2.6666666666666665,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.57
50 STRAT.F/TEACHING ENGLISH...-TEXT,3.6,2.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,2.0,2.0,3.6
50 THINGS I WISH SOMEONE WOULD...(PB),3.6,3.5,2.5,4.5,3.0,3.5,5.0,3.5,4.5,4.5,1.5,3.6
50 THINGS TO GO FURTHER W/GOOGLE CLASS.,3.1999999999999997,2.0,4.0,3.3333333333333335,3.3333333333333335,2.6666666666666665,3.6666666666666665,3.3333333333333335,2.0,3.6666666666666665,4.0,3.2000000000000006
50 THINGS YOU CAN DO W/GOOGLE..2018 UPD,3.361290322580645,2.870967741935484,3.2580645161290325,3.5161290322580645,3.935483870967742,3.838709677419355,3.6129032258064515,3.129032258064516,2.7096774193548385,3.2903225806451615,3.4516129032258065,3.36
57 BUS,3.233898305084746,2.9322033898305087,2.8135593220338984,3.288135593220339,3.305084745762712,3.694915254237288,3.4745762711864407,3.1016949152542375,2.76271186440678,3.4237288135593222,3.542372881355932,3.23
581803 MERCER UNIV CHEM 110 DISTANCE LE,3.025,3.1666666666666665,3.0833333333333335,3.6666666666666665,3.25,3.9166666666666665,3.25,1.6666666666666667,1.5,3.3333333333333335,3.4166666666666665,3.0225000000000004
699 CASE PACKET,3.4333333333333336,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.6666666666666665,3.3333333333333335,4.333333333333333,3.3333333333333335,4.0,4.0,2.6666666666666665,3.43
7 DEADLY SCENARIOS,3.1,2.0,3.0,5.0,3.0,5.0,2.0,2.0,1.0,3.0,5.0,3.1
7 HABITS OF HIGHLY EFFECT.PEOPLE-ANNIV.,3.3,3.6666666666666665,3.5555555555555554,3.5555555555555554,3.111111111111111,4.0,3.111111111111111,2.0,2.6666666666666665,4.0,3.3333333333333335,3.3
7 HABITS OF HIGHLY EFFECTIVE FAMILIES,3.4,3.0,4.0,1.3333333333333333,4.666666666666667,4.333333333333333,3.0,3.0,3.0,4.0,3.6666666666666665,3.4
7 HABITS OF HIGHLY EFFECTIVE PEOPLE,3.3181818181818183,3.220779220779221,3.3506493506493507,3.4805194805194803,3.6233766233766236,3.5454545454545454,3.5714285714285716,2.9220779220779223,2.8701298701298703,3.1948051948051948,3.4025974025974026,3.3194805194805195
7 HABITS OF HIGHLY EFFECTIVE TEENS,3.2843615494978478,2.9497847919655666,2.9913916786226684,3.4648493543758967,3.4748923959827835,3.750358680057389,3.523672883787661,2.922525107604017,2.8020086083213775,3.5322812051649928,3.431850789096126,3.28
7 HABITS OF HIGHLY EFFECTIVE VIRTUAL...,3.272727272727273,3.0454545454545454,3.0,3.4545454545454546,3.3636363636363638,3.590909090909091,3.227272727272727,3.3636363636363638,2.8181818181818183,3.272727272727273,3.590909090909091,3.27
7 MIGHTY MOVES,3.336363636363636,2.909090909090909,3.3636363636363638,3.4545454545454546,3.272727272727273,3.727272727272727,3.5454545454545454,3.4545454545454546,2.5454545454545454,3.4545454545454546,3.6363636363636362,3.3399999999999994
8 SECRETS TO UNLOCKING  - EBOOK,3.4428571428571426,3.238095238095238,3.380952380952381,4.0,4.380952380952381,3.380952380952381,3.4761904761904763,2.4761904761904763,3.0476190476190474,3.619047619047619,3.4285714285714284,3.44
8 SECRETS TO UNLOCKING-EBOOK ACCESS,3.5771241830065357,3.3398692810457518,3.607843137254902,4.071895424836601,4.091503267973856,3.849673202614379,3.4640522875816995,3.2679738562091503,3.0326797385620914,3.4901960784313726,3.5555555555555554,3.58
80 STEPS TO SUSTAINABLE SUCCESS: THE UP,3.7,2.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,3.7
"95 THESES ON POLITICS,CULTURE,+METHOD",3.0999999999999996,2.0,4.0,3.0,3.5,3.5,4.0,1.5,2.5,3.5,3.5,3.1
99 PERCENT ECONOMY,3.4,2.8,3.8,3.8,3.8,3.6,3.8,2.2,3.4,3.4,3.4,3.4
A HEALTHCARE LEADER'S GUIDE TO SUCCESSF,3.3714285714285714,3.142857142857143,3.142857142857143,3.9285714285714284,3.5714285714285716,4.142857142857143,3.642857142857143,2.7857142857142856,2.357142857142857,3.0714285714285716,3.9285714285714284,3.37
