College,Year,Semester,Department,Format,Total_Spend,Book_Count
betheltn,23,A,918,Physical,1100.38,7
betheltn,23,A,936,Digital,0.0,58
betheltn,23,A,936,Physical,4133.45,33
betheltn,23,A,960,Physical,1478.86,11
betheltn,23,F,126,Digital,0.0,30
betheltn,23,F,126,Physical,7842.79,64
betheltn,23,F,144,Digital,3443.75,253
betheltn,23,F,144,Physical,13317.9795,68
betheltn,23,F,162,Digital,0.0,323
betheltn,23,F,162,Physical,26106.07,134
betheltn,23,F,18,Digital,0.0,318
betheltn,23,F,18,Physical,15259.0,161
betheltn,23,F,180,Physical,22653.44,558
betheltn,23,F,234,Digital,0.0,1260
betheltn,23,F,234,Physical,89456.64,420
betheltn,23,F,250,Digital,0.0,47
betheltn,23,F,250,Physical,9908.38,78
betheltn,23,F,270,Digital,0.0,255
betheltn,23,F,270,Physical,27739.83,168
betheltn,23,F,288,Digital,0.0,168
betheltn,23,F,288,Physical,2321.78,65
betheltn,23,F,300,Digital,2956.25,221
betheltn,23,F,300,Physical,178.0,34
betheltn,23,F,36,Digital,0.0,116
betheltn,23,F,36,Physical,17901.27,111
betheltn,23,F,360,Digital,0.0,78
betheltn,23,F,360,Physical,2137.8,29
betheltn,23,F,378,Digital,17250.0,1362
betheltn,23,F,378,Physical,32919.29,504
betheltn,23,F,450,Digital,10924.08,1223
betheltn,23,F,450,Physical,43657.4,453
betheltn,23,F,468,Digital,7912.0796,132
betheltn,23,F,468,Physical,13993.0,133
betheltn,23,F,504,Digital,0.0,31
betheltn,23,F,504,Physical,1233.03,58
betheltn,23,F,576,Digital,0.0,120
betheltn,23,F,576,Physical,4508.77,37
betheltn,23,F,666,Digital,29973.75,2492
betheltn,23,F,666,Physical,148625.3,602
betheltn,23,F,684,Digital,0.0,6
betheltn,23,F,684,Physical,96.97,3
betheltn,23,F,702,Digital,0.0,396
betheltn,23,F,702,Physical,25322.6,205
betheltn,23,F,72,Digital,0.0,803
betheltn,23,F,72,Physical,56512.45,439
betheltn,23,F,810,Digital,0.0,205
betheltn,23,F,810,Physical,3841.95,62
betheltn,23,F,828,Digital,0.0,36
betheltn,23,F,828,Physical,841.41003,45
betheltn,23,F,846,Digital,0.0,81
betheltn,23,F,846,Physical,6428.1,30
betheltn,23,F,864,Digital,0.0,430
betheltn,23,F,864,Physical,47671.04,221
betheltn,23,F,882,Digital,0.0,425
betheltn,23,F,882,Physical,42683.8,937
betheltn,23,F,90,Digital,10712.63,1605
betheltn,23,F,90,Physical,43860.87,663
betheltn,23,F,918,Digital,0.0,198
betheltn,23,F,918,Physical,14369.84,112
betheltn,23,F,936,Digital,0.0,431
betheltn,23,F,936,Physical,19491.92,187
betheltn,23,F,954,Digital,0.0,78
betheltn,23,F,954,Physical,0.0,42
betheltn,23,F,960,Digital,0.0,68
betheltn,23,F,960,Physical,14489.18,128
betheltn,23,W,126,Digital,0.0,14
betheltn,23,W,126,Physical,7040.4897,58
betheltn,23,W,144,Digital,0.0,65
betheltn,23,W,144,Physical,28024.08,111
betheltn,23,W,162,Digital,0.0,231
betheltn,23,W,162,Physical,22538.76,132
betheltn,23,W,18,Digital,0.0,240
betheltn,23,W,18,Physical,16839.47,123
betheltn,23,W,180,Physical,1638.73,63
betheltn,23,W,234,Digital,0.0,219
betheltn,23,W,234,Physical,19739.2,73
betheltn,23,W,250,Digital,0.0,12
betheltn,23,W,250,Physical,8089.25,62
betheltn,23,W,270,Digital,0.0,246
betheltn,23,W,270,Physical,31744.5,165
betheltn,23,W,288,Digital,0.0,108
betheltn,23,W,288,Physical,8309.7295,76
betheltn,23,W,300,Digital,0.0,218
betheltn,23,W,300,Physical,15173.7,103
betheltn,23,W,36,Digital,0.0,63
betheltn,23,W,36,Physical,6938.2803,86
betheltn,23,W,360,Digital,0.0,88
betheltn,23,W,360,Physical,3819.8801,34
betheltn,23,W,378,Digital,7875.0,689
betheltn,23,W,378,Physical,32091.6,526
betheltn,23,W,450,Digital,14486.279,1147
betheltn,23,W,450,Physical,39944.65,392
betheltn,23,W,468,Digital,0.0,91
betheltn,23,W,468,Physical,4643.36,78
betheltn,23,W,504,Digital,0.0,11
betheltn,23,W,504,Physical,934.45,55
betheltn,23,W,576,Digital,0.0,117
betheltn,23,W,576,Physical,6822.22,41
betheltn,23,W,666,Digital,15688.75,1327
betheltn,23,W,666,Physical,78064.195,265
betheltn,23,W,702,Digital,0.0,191
betheltn,23,W,702,Physical,14746.93,136
betheltn,23,W,72,Digital,0.0,797
betheltn,23,W,72,Physical,57563.92,404
betheltn,23,W,810,Digital,0.0,84
betheltn,23,W,810,Physical,3967.4,59
betheltn,23,W,846,Digital,0.0,4
betheltn,23,W,846,Physical,1641.79,7
betheltn,23,W,864,Digital,0.0,631
betheltn,23,W,864,Physical,62164.39,323
betheltn,23,W,882,Digital,0.0,270
betheltn,23,W,882,Physical,28672.01,618
betheltn,23,W,90,Digital,0.0,1365
betheltn,23,W,90,Physical,38520.26,691
betheltn,23,W,918,Digital,0.0,116
betheltn,23,W,918,Physical,18443.121,119
betheltn,23,W,936,Digital,0.0,296
betheltn,23,W,936,Physical,14758.88,145
betheltn,23,W,954,Physical,0.0,30
betheltn,23,W,960,Digital,0.0,13
betheltn,23,W,960,Physical,12962.4,109
betheltn,24,A,144,Digital,1234.95,111
betheltn,24,A,144,Physical,4701.9497,41
betheltn,24,A,18,Digital,800.0,19
betheltn,24,A,18,Physical,1347.84,5
betheltn,24,A,180,Physical,50.27,11
betheltn,24,A,270,Digital,0.0,12
betheltn,24,A,270,Physical,4928.56,15
betheltn,24,A,288,Digital,0.0,48
betheltn,24,A,288,Physical,2345.04,21
betheltn,24,A,300,Digital,0.0,33
betheltn,24,A,300,Physical,2211.45,26
betheltn,24,A,450,Digital,5699.52,168
betheltn,24,A,468,Physical,380.0,4
betheltn,24,A,666,Digital,3622.5,183
betheltn,24,A,666,Physical,6582.16,25
betheltn,24,A,702,Digital,0.0,30
betheltn,24,A,810,Digital,0.0,3
betheltn,24,A,810,Physical,0.0,1
betheltn,24,A,864,Digital,0.0,83
betheltn,24,A,864,Physical,5650.32,25
betheltn,24,A,90,Digital,150.0,267
betheltn,24,A,90,Physical,1210.5599,81
betheltn,24,A,936,Digital,0.0,66
betheltn,24,A,960,Physical,2701.74,21
betheltn,24,F,126,Digital,0.0,50
betheltn,24,F,126,Physical,9490.55,82
betheltn,24,F,144,Digital,7050.0,331
betheltn,24,F,144,Physical,10108.109,103
betheltn,24,F,162,Digital,0.0,277
betheltn,24,F,162,Physical,22075.451,128
betheltn,24,F,18,Digital,0.0,489
betheltn,24,F,18,Physical,9627.72,163
betheltn,24,F,180,Physical,17536.7,400
betheltn,24,F,216,Digital,0.0,3
betheltn,24,F,216,Physical,216.32,1
betheltn,24,F,234,Digital,0.0,702
betheltn,24,F,234,Physical,49495.68,234
betheltn,24,F,250,Physical,11525.99,61
betheltn,24,F,255,Physical,539.0,7
betheltn,24,F,270,Digital,0.0,18
betheltn,24,F,270,Physical,12451.92,69
betheltn,24,F,288,Digital,0.0,170
betheltn,24,F,288,Physical,2791.94,69
betheltn,24,F,300,Physical,6767.28,60
betheltn,24,F,36,Digital,0.0,3
betheltn,24,F,36,Physical,4783.8,371
betheltn,24,F,360,Digital,0.0,48
betheltn,24,F,360,Physical,1616.39,20
betheltn,24,F,378,Digital,3825.0,463
betheltn,24,F,378,Physical,29874.7,374
betheltn,24,F,450,Digital,13171.6,1144
betheltn,24,F,450,Physical,0.0,281
betheltn,24,F,468,Digital,0.0,85
betheltn,24,F,468,Physical,9180.58,160
betheltn,24,F,504,Digital,0.0,1
betheltn,24,F,504,Physical,729.64,33
betheltn,24,F,576,Digital,0.0,61
betheltn,24,F,576,Physical,2704.0,28
betheltn,24,F,666,Digital,27841.25,976
betheltn,24,F,666,Physical,32412.02,123
betheltn,24,F,684,Physical,29.98,2
betheltn,24,F,702,Digital,0.0,313
betheltn,24,F,702,Physical,23228.52,168
betheltn,24,F,72,Digital,2808.0,688
betheltn,24,F,72,Physical,51516.84,350
betheltn,24,F,810,Digital,3784.0,280
betheltn,24,F,810,Physical,6142.98,84
betheltn,24,F,846,Digital,0.0,24
betheltn,24,F,864,Digital,0.0,479
betheltn,24,F,864,Physical,52513.32,195
betheltn,24,F,882,Digital,0.0,144
betheltn,24,F,882,Physical,40367.492,796
betheltn,24,F,90,Digital,1800.0,1968
betheltn,24,F,90,Physical,53690.39,873
betheltn,24,F,918,Digital,0.0,171
betheltn,24,F,918,Physical,1396.89,11
betheltn,24,F,936,Digital,11137.5,615
betheltn,24,F,936,Physical,4341.3,106
betheltn,24,F,954,Digital,0.0,90
betheltn,24,F,954,Physical,0.0,30
betheltn,24,F,960,Digital,0.0,144
betheltn,24,F,960,Physical,19099.65,191
betheltn,24,W,126,Digital,0.0,36
betheltn,24,W,126,Physical,8644.75,77
betheltn,24,W,144,Digital,12893.75,425
betheltn,24,W,144,Physical,11506.13,140
betheltn,24,W,162,Digital,1009.80005,415
betheltn,24,W,162,Physical,22936.07,150
betheltn,24,W,18,Digital,0.0,451
betheltn,24,W,18,Physical,13506.2295,221
betheltn,24,W,180,Physical,2531.73,128
betheltn,24,W,216,Digital,0.0,6
betheltn,24,W,216,Physical,432.64,2
betheltn,24,W,234,Digital,0.0,258
betheltn,24,W,234,Physical,21923.04,102
betheltn,24,W,250,Digital,0.0,10
betheltn,24,W,250,Physical,11519.46,68
betheltn,24,W,270,Digital,0.0,105
betheltn,24,W,270,Physical,21727.639,70
betheltn,24,W,288,Digital,0.0,139
betheltn,24,W,288,Physical,5662.0,85
betheltn,24,W,300,Digital,1182.5,94
betheltn,24,W,300,Physical,6576.76,73
betheltn,24,W,36,Digital,0.0,93
betheltn,24,W,36,Physical,7193.63,287
betheltn,24,W,360,Digital,0.0,63
betheltn,24,W,360,Physical,2883.97,22
betheltn,24,W,378,Digital,7950.0,752
betheltn,24,W,378,Physical,37712.05,554
betheltn,24,W,450,Digital,13824.06,1020
betheltn,24,W,450,Physical,6465.75,228
betheltn,24,W,468,Digital,0.0,234
betheltn,24,W,468,Physical,20702.74,222
betheltn,24,W,504,Digital,111.93,7
betheltn,24,W,504,Physical,237.86,14
betheltn,24,W,576,Digital,0.0,38
betheltn,24,W,576,Physical,3851.4001,24
betheltn,24,W,666,Digital,4120.0,1460
betheltn,24,W,666,Physical,124365.984,490
betheltn,24,W,684,Physical,29.98,2
betheltn,24,W,702,Digital,0.0,160
betheltn,24,W,702,Physical,16882.1,131
betheltn,24,W,72,Digital,0.0,821
betheltn,24,W,72,Physical,28041.48,254
betheltn,24,W,810,Digital,4372.15,151
betheltn,24,W,810,Physical,1399.0,32
betheltn,24,W,846,Digital,0.0,15
betheltn,24,W,864,Digital,2695.14,690
betheltn,24,W,864,Physical,57728.02,268
betheltn,24,W,882,Digital,0.0,397
betheltn,24,W,882,Physical,39722.05,861
betheltn,24,W,90,Digital,15061.71,1693
betheltn,24,W,90,Physical,36210.34,688
betheltn,24,W,900,Digital,0.0,90
betheltn,24,W,900,Physical,710.0,20
betheltn,24,W,918,Digital,0.0,401
betheltn,24,W,918,Physical,14038.921,81
betheltn,24,W,936,Digital,0.0,584
betheltn,24,W,936,Physical,5668.27,112
betheltn,24,W,954,Digital,0.0,57
betheltn,24,W,954,Physical,0.0,32
betheltn,24,W,960,Digital,0.0,83
betheltn,24,W,960,Physical,13641.26,110
campbell,22,A,10,Digital,0.0,90
campbell,22,A,10,Physical,18747.32,114
campbell,22,A,105,Digital,0.0,6
campbell,22,A,105,Physical,765.0,6
campbell,22,A,127,Physical,1234.66,12
campbell,22,A,130,Digital,0.0,12
campbell,22,A,130,Physical,18547.291,159
campbell,22,A,135,Digital,0.0,139
campbell,22,A,135,Physical,2196.18,48
campbell,22,A,136,Digital,0.0,99
campbell,22,A,136,Physical,15107.95,68
campbell,22,A,148,Digital,0.0,297
campbell,22,A,148,Physical,26448.68,178
campbell,22,A,149,Digital,0.0,188
campbell,22,A,149,Physical,1742.15,78
campbell,22,A,15,Digital,0.0,71
campbell,22,A,15,Physical,228.54,25
campbell,22,A,150,Digital,0.0,271
campbell,22,A,150,Physical,20256.17,215
campbell,22,A,159,Physical,4557.06,58
campbell,22,A,163,Digital,0.0,44
campbell,22,A,163,Physical,0.0,22
campbell,22,A,165,Digital,0.0,19
campbell,22,A,165,Physical,1329.8099,19
campbell,22,A,167,Digital,0.0,12
campbell,22,A,167,Physical,529.23,9
campbell,22,A,170,Digital,0.0,42
campbell,22,A,170,Physical,7458.13,63
campbell,22,A,174,Digital,0.0,54
campbell,22,A,174,Physical,4881.6797,28
campbell,22,A,176,Digital,0.0,190
campbell,22,A,176,Physical,19492.59,205
campbell,22,A,188,Digital,0.0,6
campbell,22,A,188,Physical,492.82,4
campbell,22,A,190,Digital,0.0,28
campbell,22,A,190,Physical,2811.5898,29
campbell,22,A,195,Digital,0.0,4
campbell,22,A,195,Physical,145.68,8
campbell,22,A,200,Digital,0.0,143
campbell,22,A,200,Physical,23771.74,239
campbell,22,A,205,Digital,0.0,108
campbell,22,A,205,Physical,2347.65,54
campbell,22,A,25,Digital,0.0,242
campbell,22,A,25,Physical,18917.84,127
campbell,22,A,27,Digital,0.0,288
campbell,22,A,27,Physical,33399.37,352
campbell,22,A,35,Digital,0.0,136
campbell,22,A,35,Physical,40142.168,312
campbell,22,A,40,Digital,0.0,95
campbell,22,A,40,Physical,6067.21,168
campbell,22,A,43,Physical,521.04,6
campbell,22,A,55,Digital,0.0,129
campbell,22,A,55,Physical,7281.32,58
campbell,22,A,57,Physical,0.0,59
campbell,22,A,60,Digital,0.0,51
campbell,22,A,60,Physical,11299.14,90
campbell,22,A,65,Digital,0.0,33
campbell,22,A,65,Physical,16225.73,83
campbell,22,A,66,Digital,0.0,52
campbell,22,A,66,Physical,1508.0,13
campbell,22,A,70,Digital,0.0,60
campbell,22,A,70,Physical,3679.2,47
campbell,22,A,75,Digital,0.0,50
campbell,22,A,75,Physical,15055.03,210
campbell,22,A,80,Digital,0.0,15
campbell,22,A,80,Physical,14283.0,59
campbell,22,A,89,Physical,3905.94,30
campbell,22,A,95,Digital,0.0,84
campbell,22,A,95,Physical,9114.56,28
campbell,22,F,10,Digital,98.75,628
campbell,22,F,10,Physical,98165.66,657
campbell,22,F,105,Digital,0.0,96
campbell,22,F,105,Physical,16460.0,96
campbell,22,F,110,Digital,0.0,42
campbell,22,F,110,Physical,0.0,14
campbell,22,F,115,Digital,0.0,45
campbell,22,F,115,Physical,0.0,15
campbell,22,F,124,Digital,0.0,18
campbell,22,F,124,Physical,475.2,6
campbell,22,F,127,Digital,0.0,77
campbell,22,F,127,Physical,7164.12,73
campbell,22,F,130,Digital,0.0,804
campbell,22,F,130,Physical,119558.375,1401
campbell,22,F,134,Digital,0.0,288
campbell,22,F,134,Physical,7710.5103,182
campbell,22,F,135,Digital,0.0,390
campbell,22,F,135,Physical,22119.75,296
campbell,22,F,136,Digital,0.0,535
campbell,22,F,136,Physical,73039.49,416
campbell,22,F,139,Digital,0.0,14
campbell,22,F,139,Physical,419.86,14
campbell,22,F,148,Digital,0.0,1736
campbell,22,F,148,Physical,85239.336,824
campbell,22,F,149,Digital,0.0,154
campbell,22,F,149,Physical,16155.899,153
campbell,22,F,15,Digital,0.0,434
campbell,22,F,15,Physical,2253.31,170
campbell,22,F,150,Digital,1125.0,1516
campbell,22,F,150,Physical,177725.89,1600
campbell,22,F,151,Digital,0.0,69
campbell,22,F,151,Physical,16905.99,95
campbell,22,F,158,Digital,0.0,4
campbell,22,F,158,Physical,160.01,15
campbell,22,F,159,Digital,0.0,583
campbell,22,F,159,Physical,51252.33,690
campbell,22,F,160,Digital,0.0,97
campbell,22,F,160,Physical,188935.88,1260
campbell,22,F,163,Digital,0.0,1162
campbell,22,F,163,Physical,0.0,581
campbell,22,F,165,Digital,0.0,283
campbell,22,F,165,Physical,7060.0103,181
campbell,22,F,167,Digital,0.0,18
campbell,22,F,167,Physical,226.11002,6
campbell,22,F,170,Digital,0.0,317
campbell,22,F,170,Physical,48540.53,424
campbell,22,F,173,Digital,0.0,128
campbell,22,F,173,Physical,19516.16,565
campbell,22,F,174,Digital,0.0,396
campbell,22,F,174,Physical,38734.62,377
campbell,22,F,176,Digital,0.0,1021
campbell,22,F,176,Physical,136977.92,962
campbell,22,F,184,Digital,0.0,18
campbell,22,F,184,Physical,0.0,6
campbell,22,F,185,Physical,4596.5,58
campbell,22,F,188,Digital,0.0,81
campbell,22,F,188,Physical,4352.2397,34
campbell,22,F,190,Digital,0.0,499
campbell,22,F,190,Physical,25614.52,295
campbell,22,F,195,Digital,0.0,193
campbell,22,F,195,Physical,12530.06,152
campbell,22,F,200,Digital,0.0,640
campbell,22,F,200,Physical,87284.34,669
campbell,22,F,205,Digital,0.0,68
campbell,22,F,205,Physical,6611.1797,199
campbell,22,F,210,Physical,27052.48,182
campbell,22,F,25,Digital,0.0,1167
campbell,22,F,25,Physical,61698.27,794
campbell,22,F,26,Digital,0.0,339
campbell,22,F,26,Physical,8308.57,123
campbell,22,F,27,Digital,0.0,2065
campbell,22,F,27,Physical,268123.7,2704
campbell,22,F,29,Digital,0.0,13
campbell,22,F,29,Physical,1987.48,17
campbell,22,F,35,Digital,0.0,1391
campbell,22,F,35,Physical,136628.16,2378
campbell,22,F,36,Digital,0.0,9
campbell,22,F,36,Physical,7272.06,39
campbell,22,F,40,Digital,0.0,1181
campbell,22,F,40,Physical,70730.64,1807
campbell,22,F,43,Digital,0.0,58
campbell,22,F,43,Physical,17198.871,139
campbell,22,F,55,Digital,0.0,836
campbell,22,F,55,Physical,48014.6,440
campbell,22,F,56,Physical,6611.05,95
campbell,22,F,57,Physical,0.0,85
campbell,22,F,59,Digital,0.0,480
campbell,22,F,59,Physical,10281.6,480
campbell,22,F,60,Digital,0.0,511
campbell,22,F,60,Physical,59145.05,357
campbell,22,F,61,Digital,0.0,6
campbell,22,F,61,Physical,269.94,6
campbell,22,F,65,Digital,0.0,611
campbell,22,F,65,Physical,59169.3,390
campbell,22,F,66,Digital,0.0,220
campbell,22,F,66,Physical,6468.0,58
campbell,22,F,67,Digital,0.0,30
campbell,22,F,67,Physical,1684.7999,10
campbell,22,F,70,Digital,0.0,485
campbell,22,F,70,Physical,37051.84,616
campbell,22,F,72,Digital,0.0,20
campbell,22,F,72,Physical,4608.55,36
campbell,22,F,75,Digital,0.0,5222
campbell,22,F,75,Physical,235741.1,4237
campbell,22,F,77,Digital,0.0,544
campbell,22,F,77,Physical,47431.97,568
campbell,22,F,80,Physical,29538.0,196
campbell,22,F,89,Digital,0.0,826
campbell,22,F,89,Physical,101982.01,860
campbell,22,F,95,Digital,0.0,193
campbell,22,F,95,Physical,38861.24,159
campbell,22,W,10,Digital,0.0,418
campbell,22,W,10,Physical,89123.33,522
campbell,22,W,105,Digital,0.0,85
campbell,22,W,105,Physical,12672.95,76
campbell,22,W,110,Physical,5672.16,18
campbell,22,W,115,Physical,4584.32,19
campbell,22,W,124,Digital,0.0,24
campbell,22,W,124,Physical,633.60004,8
campbell,22,W,127,Digital,0.0,82
campbell,22,W,127,Physical,8879.36,88
campbell,22,W,130,Digital,0.0,901
campbell,22,W,130,Physical,94650.06,1153
campbell,22,W,134,Digital,0.0,154
campbell,22,W,134,Physical,9453.53,187
campbell,22,W,135,Digital,0.0,646
campbell,22,W,135,Physical,15878.0,257
campbell,22,W,136,Digital,0.0,544
campbell,22,W,136,Physical,60825.29,373
campbell,22,W,139,Digital,0.0,15
campbell,22,W,139,Physical,374.85,15
campbell,22,W,148,Digital,0.0,1022
campbell,22,W,148,Physical,95002.93,987
campbell,22,W,149,Digital,0.0,369
campbell,22,W,149,Physical,25408.69,260
campbell,22,W,15,Digital,0.0,343
campbell,22,W,15,Physical,2145.68,141
campbell,22,W,150,Digital,0.0,1444
campbell,22,W,150,Physical,174324.02,1409
campbell,22,W,151,Digital,0.0,301
campbell,22,W,151,Physical,16085.75,222
campbell,22,W,159,Digital,0.0,153
campbell,22,W,159,Physical,26036.56,274
campbell,22,W,160,Digital,0.0,1351
campbell,22,W,160,Physical,143499.61,1541
campbell,22,W,163,Digital,0.0,460
campbell,22,W,163,Physical,0.0,230
campbell,22,W,165,Digital,0.0,445
campbell,22,W,165,Physical,8616.13,273
campbell,22,W,167,Digital,0.0,20
campbell,22,W,167,Physical,882.05005,15
campbell,22,W,170,Digital,0.0,248
campbell,22,W,170,Physical,40331.37,352
campbell,22,W,173,Digital,0.0,90
campbell,22,W,173,Physical,6420.5,60
