campus_code,adoption_type,dept_code,term_year,term_code,total_bundles,total_spend,total_savings,total_retail
249-1,EO,COU,22,W,333,0.0,0.0,0.0
249-1,EO,COU,23,A,285,0.0,0.0,0.0
249-1,EO,COU,23,F,811,0.0,0.0,0.0
249-1,EO,COU,23,W,767,0.0,0.0,0.0
249-1,EO,COU,24,A,147,0.0,0.0,0.0
249-1,EO,COU,24,F,141,0.0,0.0,0.0
249-1,EO,COU,24,W,337,0.0,0.0,0.0
249-1,EO,CPL,22,A,45,0.0,0.0,0.0
249-1,EO,CPL,22,F,132,0.0,0.0,0.0
249-1,EO,CPL,22,W,43,0.0,0.0,0.0
249-1,EO,CPL,23,A,141,0.0,0.0,0.0
249-1,EO,CPL,23,F,246,0.0,0.0,0.0
249-1,EO,CPL,23,W,184,0.0,0.0,0.0
249-1,EO,CPL,24,A,92,0.0,0.0,0.0
249-1,EO,CPL,24,F,207,0.0,0.0,0.0
249-1,EO,CPL,24,W,171,0.0,0.0,0.0
249-1,EO,CRE,23,A,14,0.0,0.0,0.0
249-1,EO,CRE,23,F,69,0.0,0.0,0.0
249-1,EO,CRE,23,W,35,0.0,0.0,0.0
249-1,EO,CRJ,21,F,1693,0.0,0.0,0.0
249-1,EO,CRJ,22,A,58,0.0,0.0,0.0
249-1,EO,CRJ,22,F,872,0.0,0.0,0.0
249-1,EO,CRJ,22,W,821,0.0,0.0,0.0
249-1,EO,CRJ,23,F,1882,0.0,0.0,0.0
249-1,EO,CRJ,23,W,1765,0.0,0.0,0.0
249-1,EO,CRJ,24,A,76,0.0,0.0,0.0
249-1,EO,CRJ,24,F,1649,0.0,0.0,0.0
249-1,EO,CRJ,24,W,1375,0.0,0.0,0.0
249-1,EO,CSC,21,F,422,0.0,0.0,0.0
249-1,EO,CSC,22,A,36,0.0,0.0,0.0
249-1,EO,CSC,22,F,364,0.0,0.0,0.0
249-1,EO,CSC,22,W,413,0.0,0.0,0.0
249-1,EO,CSC,23,A,150,0.0,0.0,0.0
249-1,EO,CSC,23,F,804,0.0,0.0,0.0
249-1,EO,CSC,23,W,750,0.0,0.0,0.0
249-1,EO,CSC,24,F,725,0.0,0.0,0.0
249-1,EO,CSC,24,W,670,0.0,0.0,0.0
249-1,EO,CSD,21,F,563,0.0,0.0,0.0
249-1,EO,CSD,22,F,117,0.0,0.0,0.0
249-1,EO,CSD,22,W,90,0.0,0.0,0.0
249-1,EO,CSD,23,A,378,0.0,0.0,0.0
249-1,EO,CSD,23,F,614,0.0,0.0,0.0
249-1,EO,CSD,23,W,223,0.0,0.0,0.0
249-1,EO,CSD,24,A,181,0.0,0.0,0.0
249-1,EO,CSD,24,F,696,0.0,0.0,0.0
249-1,EO,CSD,24,W,281,0.0,0.0,0.0
249-1,EO,CTE,21,F,22,0.0,0.0,0.0
249-1,EO,CTE,24,F,18,0.0,0.0,0.0
249-1,EO,DES,24,F,46,0.0,0.0,0.0
249-1,EO,DES,24,W,36,0.0,0.0,0.0
249-1,EO,DSC,24,W,9,0.0,0.0,0.0
249-1,EO,EAD,21,F,138,0.0,0.0,0.0
249-1,EO,EAD,22,A,79,0.0,0.0,0.0
249-1,EO,EAD,22,F,227,0.0,0.0,0.0
249-1,EO,EAD,22,W,80,0.0,0.0,0.0
249-1,EO,EAD,23,A,311,0.0,0.0,0.0
249-1,EO,EAD,23,F,351,0.0,0.0,0.0
249-1,EO,EAD,23,W,268,0.0,0.0,0.0
249-1,EO,EAD,24,F,48,0.0,0.0,0.0
249-1,EO,EAD,24,W,128,0.0,0.0,0.0
249-1,EO,ECO,21,F,250,0.0,0.0,0.0
249-1,EO,ECO,22,A,16,0.0,0.0,0.0
249-1,EO,ECO,22,F,483,0.0,0.0,0.0
249-1,EO,ECO,22,W,98,0.0,0.0,0.0
249-1,EO,ECO,23,A,60,0.0,0.0,0.0
249-1,EO,ECO,23,F,126,0.0,0.0,0.0
249-1,EO,ECO,23,W,396,0.0,0.0,0.0
249-1,EO,ECO,24,F,129,0.0,0.0,0.0
249-1,EO,ECO,24,W,234,0.0,0.0,0.0
249-1,EO,EDC,21,F,353,0.0,0.0,0.0
249-1,EO,EDC,22,F,528,0.0,0.0,0.0
249-1,EO,EDC,22,W,119,0.0,0.0,0.0
249-1,EO,EDC,23,F,625,0.0,0.0,0.0
249-1,EO,EDC,23,W,406,0.0,0.0,0.0
249-1,EO,EDC,24,A,180,0.0,0.0,0.0
249-1,EO,EDC,24,F,195,0.0,0.0,0.0
249-1,EO,EDC,24,W,72,0.0,0.0,0.0
249-1,EO,EDD,21,F,70,0.0,0.0,0.0
249-1,EO,EDD,22,F,74,0.0,0.0,0.0
249-1,EO,EDD,22,W,218,0.0,0.0,0.0
249-1,EO,EDD,23,A,260,0.0,0.0,0.0
249-1,EO,EDD,23,F,264,0.0,0.0,0.0
249-1,EO,EDD,23,W,169,0.0,0.0,0.0
249-1,EO,EDD,24,F,515,0.0,0.0,0.0
249-1,EO,EDD,24,W,19,0.0,0.0,0.0
249-1,EO,EDF,21,F,831,0.0,0.0,0.0
249-1,EO,EDF,22,A,8,0.0,0.0,0.0
249-1,EO,EDF,22,F,622,0.0,0.0,0.0
249-1,EO,EDF,22,W,547,0.0,0.0,0.0
249-1,EO,EDF,23,A,59,0.0,0.0,0.0
249-1,EO,EDF,23,F,187,0.0,0.0,0.0
249-1,EO,EDF,23,W,579,0.0,0.0,0.0
249-1,EO,EDF,24,A,33,0.0,0.0,0.0
249-1,EO,EDF,24,F,78,0.0,0.0,0.0
249-1,EO,EDF,24,W,389,0.0,0.0,0.0
249-1,EO,EDL,21,F,35,0.0,0.0,0.0
249-1,EO,EDL,22,A,27,0.0,0.0,0.0
249-1,EO,EDL,22,W,18,0.0,0.0,0.0
249-1,EO,EDL,23,A,76,0.0,0.0,0.0
249-1,EO,EDL,23,F,57,0.0,0.0,0.0
249-1,EO,EDL,23,W,88,0.0,0.0,0.0
249-1,EO,EDL,24,A,39,0.0,0.0,0.0
249-1,EO,EDL,24,F,240,0.0,0.0,0.0
249-1,EO,EDL,24,W,26,0.0,0.0,0.0
249-1,EO,EET,24,F,58,0.0,0.0,0.0
249-1,EO,EET,24,W,28,0.0,0.0,0.0
249-1,EO,EGC,21,F,123,0.0,0.0,0.0
249-1,EO,EGC,22,F,49,0.0,0.0,0.0
249-1,EO,EGC,22,W,23,0.0,0.0,0.0
249-1,EO,EGC,23,W,288,0.0,0.0,0.0
249-1,EO,EHS,21,F,118,0.0,0.0,0.0
249-1,EO,EHS,22,A,33,0.0,0.0,0.0
249-1,EO,EHS,22,F,88,0.0,0.0,0.0
249-1,EO,EHS,23,A,12,0.0,0.0,0.0
249-1,EO,EHS,23,F,254,0.0,0.0,0.0
249-1,EO,EHS,23,W,102,0.0,0.0,0.0
249-1,EO,EHS,24,F,112,0.0,0.0,0.0
249-1,EO,EHS,24,W,74,0.0,0.0,0.0
249-1,EO,ELE,21,F,807,0.0,0.0,0.0
249-1,EO,ELE,22,A,38,0.0,0.0,0.0
249-1,EO,ELE,22,F,343,0.0,0.0,0.0
249-1,EO,ELE,22,W,394,0.0,0.0,0.0
249-1,EO,ELE,23,A,204,0.0,0.0,0.0
249-1,EO,ELE,23,F,688,0.0,0.0,0.0
249-1,EO,ELE,23,W,748,0.0,0.0,0.0
249-1,EO,ELE,24,A,152,0.0,0.0,0.0
249-1,EO,ELE,24,F,1074,2666.081437933984,2013.3985620660155,4679.48
249-1,EO,ELE,24,W,370,0.0,0.0,0.0
249-1,EO,EMC,21,F,484,0.0,0.0,0.0
249-1,EO,EMC,22,F,217,0.0,0.0,0.0
249-1,EO,EMC,22,W,381,0.0,0.0,0.0
249-1,EO,EMC,23,F,198,0.0,0.0,0.0
249-1,EO,EMC,23,W,206,0.0,0.0,0.0
249-1,EO,EMC,24,A,170,0.0,0.0,0.0
249-1,EO,EMC,24,F,679,0.0,0.0,0.0
249-1,EO,EMC,24,W,217,0.0,0.0,0.0
249-1,EO,EME,21,F,70,0.0,0.0,0.0
249-1,EO,EME,22,A,38,0.0,0.0,0.0
249-1,EO,EME,22,F,88,0.0,0.0,0.0
249-1,EO,EME,22,W,98,0.0,0.0,0.0
249-1,EO,EME,23,A,18,0.0,0.0,0.0
249-1,EO,EME,23,F,34,0.0,0.0,0.0
249-1,EO,EME,23,W,144,0.0,0.0,0.0
249-1,EO,EME,24,A,174,0.0,0.0,0.0
249-1,EO,EME,24,F,30,0.0,0.0,0.0
249-1,EO,EME,24,W,156,0.0,0.0,0.0
249-1,EO,EMG,21,F,149,0.0,0.0,0.0
249-1,EO,EMG,22,A,26,0.0,0.0,0.0
249-1,EO,EMG,22,F,64,0.0,0.0,0.0
249-1,EO,EMG,23,A,70,0.0,0.0,0.0
249-1,EO,EMG,23,F,130,0.0,0.0,0.0
249-1,EO,EMG,24,A,7,302.85068307776004,327.0793169222399,629.93
249-1,EO,EMG,24,F,190,0.0,0.0,0.0
249-1,EO,EMS,21,F,295,0.0,0.0,0.0
249-1,EO,EMS,22,F,43,0.0,0.0,0.0
249-1,EO,EMS,22,W,174,0.0,0.0,0.0
249-1,EO,EMS,23,A,377,0.0,0.0,0.0
249-1,EO,EMS,23,F,433,0.0,0.0,0.0
249-1,EO,EMS,23,W,845,0.0,0.0,0.0
249-1,EO,EMS,24,A,294,0.0,0.0,0.0
249-1,EO,EMS,24,F,283,0.0,0.0,0.0
249-1,EO,EMS,24,W,72,0.0,0.0,0.0
249-1,EO,ENG,21,F,1799,0.0,0.0,0.0
249-1,EO,ENG,22,A,28,0.0,0.0,0.0
249-1,EO,ENG,22,F,1570,0.0,0.0,0.0
249-1,EO,ENG,22,W,3150,0.0,0.0,0.0
249-1,EO,ENG,23,A,128,0.0,0.0,0.0
249-1,EO,ENG,23,F,1831,0.0,0.0,0.0
249-1,EO,ENG,23,W,1958,0.0,0.0,0.0
249-1,EO,ENG,24,A,20,0.0,0.0,0.0
249-1,EO,ENG,24,F,1862,0.0,0.0,0.0
249-1,EO,ENG,24,W,1530,0.0,0.0,0.0
249-1,EO,ENW,21,F,253,0.0,0.0,0.0
249-1,EO,ENW,23,F,114,0.0,0.0,0.0
249-1,EO,ENW,23,W,68,0.0,0.0,0.0
249-1,EO,ENW,24,A,42,0.0,0.0,0.0
249-1,EO,ENW,24,W,58,0.0,0.0,0.0
249-1,EO,EPY,21,F,24,0.0,0.0,0.0
249-1,EO,EPY,22,F,30,0.0,0.0,0.0
249-1,EO,EPY,23,A,170,0.0,0.0,0.0
249-1,EO,EPY,23,F,189,0.0,0.0,0.0
249-1,EO,EPY,23,W,185,0.0,0.0,0.0
249-1,EO,EPY,24,W,132,0.0,0.0,0.0
249-1,EO,ESE,21,F,7,0.0,0.0,0.0
249-1,EO,ESE,23,F,121,0.0,0.0,0.0
249-1,EO,ESE,23,W,2,0.0,0.0,0.0
249-1,EO,ESE,24,F,267,425.72324591913656,423.27675408086344,1748.75
249-1,EO,ESS,21,F,537,0.0,0.0,0.0
249-1,EO,ESS,22,A,60,0.0,0.0,0.0
249-1,EO,ESS,22,F,1132,0.0,0.0,0.0
249-1,EO,ESS,22,W,567,0.0,0.0,0.0
249-1,EO,ESS,23,A,94,0.0,0.0,0.0
249-1,EO,ESS,23,F,2162,0.0,0.0,0.0
249-1,EO,ESS,23,W,743,0.0,0.0,0.0
249-1,EO,ESS,24,A,70,0.0,0.0,0.0
249-1,EO,ESS,24,F,1305,0.0,0.0,0.0
249-1,EO,ESS,24,W,1005,0.0,0.0,0.0
249-1,EO,ETL,21,F,461,0.0,0.0,0.0
249-1,EO,ETL,22,A,76,0.0,0.0,0.0
249-1,EO,ETL,22,F,168,0.0,0.0,0.0
249-1,EO,ETL,22,W,103,0.0,0.0,0.0
249-1,EO,ETL,23,A,339,0.0,0.0,0.0
249-1,EO,ETL,23,F,491,0.0,0.0,0.0
249-1,EO,ETL,23,W,454,0.0,0.0,0.0
249-1,EO,ETL,24,W,343,0.0,0.0,0.0
249-1,EO,FCC,21,F,91,0.0,0.0,0.0
249-1,EO,FCC,23,F,84,0.0,0.0,0.0
249-1,EO,FCS,22,F,21,0.0,0.0,0.0
249-1,EO,FCS,22,W,38,0.0,0.0,0.0
249-1,EO,FCS,23,F,7,0.0,0.0,0.0
249-1,EO,FCS,23,W,106,0.0,0.0,0.0
249-1,EO,FCS,24,F,15,0.0,0.0,0.0
249-1,EO,FCS,24,W,54,0.0,0.0,0.0
249-1,EO,FIN,21,F,250,0.0,0.0,0.0
249-1,EO,FIN,22,A,47,0.0,0.0,0.0
249-1,EO,FIN,22,F,230,0.0,0.0,0.0
249-1,EO,FIN,22,W,186,0.0,0.0,0.0
249-1,EO,FIN,23,F,71,0.0,0.0,0.0
249-1,EO,FIN,23,W,112,0.0,0.0,0.0
249-1,EO,FIN,24,F,114,0.0,0.0,0.0
249-1,EO,FMT,21,F,26,0.0,0.0,0.0
249-1,EO,FMT,23,W,38,0.0,0.0,0.0
249-1,EO,FMT,24,F,52,0.0,0.0,0.0
249-1,EO,FMT,24,W,34,0.0,0.0,0.0
249-1,EO,FOR,21,F,149,0.0,0.0,0.0
249-1,EO,FOR,22,F,303,0.0,0.0,0.0
249-1,EO,FOR,22,W,654,0.0,0.0,0.0
249-1,EO,FOR,23,F,545,0.0,0.0,0.0
249-1,EO,FOR,23,W,1075,0.0,0.0,0.0
249-1,EO,FOR,24,F,56,0.0,0.0,0.0
249-1,EO,FOR,24,W,466,0.0,0.0,0.0
249-1,EO,FRM,22,F,52,0.0,0.0,0.0
249-1,EO,FSE,21,F,997,0.0,0.0,0.0
249-1,EO,FSE,22,A,74,0.0,0.0,0.0
249-1,EO,FSE,22,F,392,0.0,0.0,0.0
249-1,EO,FSE,22,W,368,0.0,0.0,0.0
249-1,EO,FSE,23,A,63,0.0,0.0,0.0
249-1,EO,FSE,23,F,1183,0.0,0.0,0.0
249-1,EO,FSE,23,W,716,0.0,0.0,0.0
249-1,EO,FSE,24,A,32,0.0,0.0,0.0
249-1,EO,FSE,24,F,1397,0.0,0.0,0.0
249-1,EO,FSE,24,W,656,0.0,0.0,0.0
249-1,EO,GBU,22,A,12,0.0,0.0,0.0
249-1,EO,GBU,22,F,40,0.0,0.0,0.0
249-1,EO,GBU,22,W,139,0.0,0.0,0.0
249-1,EO,GBU,23,W,100,0.0,0.0,0.0
249-1,EO,GBU,24,W,70,0.0,0.0,0.0
249-1,EO,GEO,21,F,1940,0.0,0.0,0.0
249-1,EO,GEO,22,A,43,0.0,0.0,0.0
249-1,EO,GEO,22,F,34,0.0,0.0,0.0
249-1,EO,GEO,22,W,201,0.0,0.0,0.0
249-1,EO,GEO,23,A,132,0.0,0.0,0.0
249-1,EO,GEO,23,F,353,0.0,0.0,0.0
249-1,EO,GEO,23,W,268,0.0,0.0,0.0
249-1,EO,GEO,24,F,125,0.0,0.0,0.0
249-1,EO,GEO,24,W,128,0.0,0.0,0.0
249-1,EO,GER,21,F,104,0.0,0.0,0.0
249-1,EO,GER,22,F,196,0.0,0.0,0.0
249-1,EO,GER,22,W,124,0.0,0.0,0.0
249-1,EO,GER,23,F,126,0.0,0.0,0.0
249-1,EO,GER,23,W,321,0.0,0.0,0.0
249-1,EO,GER,24,W,183,0.0,0.0,0.0
249-1,EO,GHT,23,F,26,0.0,0.0,0.0
249-1,EO,GHT,24,F,78,0.0,0.0,0.0
249-1,EO,GLY,21,F,973,0.0,0.0,0.0
249-1,EO,GLY,22,F,203,0.0,0.0,0.0
249-1,EO,GLY,22,W,424,0.0,0.0,0.0
249-1,EO,GLY,23,F,431,0.0,0.0,0.0
249-1,EO,GLY,23,W,306,0.0,0.0,0.0
249-1,EO,GLY,24,W,447,0.0,0.0,0.0
249-1,EO,GSD,24,W,141,0.0,0.0,0.0
249-1,EO,GSO,21,F,11,0.0,0.0,0.0
249-1,EO,GST,21,F,38,0.0,0.0,0.0
249-1,EO,GTO,22,W,28,0.0,0.0,0.0
249-1,EO,GTO,23,F,249,0.0,0.0,0.0
249-1,EO,GTO,23,W,120,0.0,0.0,0.0
249-1,EO,GTO,24,F,288,0.0,0.0,0.0
249-1,EO,GTO,24,W,124,0.0,0.0,0.0
249-1,EO,HCA,24,F,21,0.0,0.0,0.0
249-1,EO,HEA,21,F,1038,0.0,0.0,0.0
249-1,EO,HEA,22,F,125,0.0,0.0,0.0
249-1,EO,HEA,22,W,128,0.0,0.0,0.0
249-1,EO,HEA,23,A,29,0.0,0.0,0.0
249-1,EO,HEA,23,F,392,0.0,0.0,0.0
249-1,EO,HEA,23,W,282,0.0,0.0,0.0
249-1,EO,HEA,24,F,468,0.0,0.0,0.0
249-1,EO,HEA,24,W,341,0.0,0.0,0.0
249-1,EO,HIS,21,F,1141,0.0,0.0,0.0
249-1,EO,HIS,22,A,37,0.0,0.0,0.0
249-1,EO,HIS,22,F,2361,0.0,0.0,0.0
249-1,EO,HIS,22,W,743,0.0,0.0,0.0
249-1,EO,HIS,23,A,66,0.0,0.0,0.0
249-1,EO,HIS,23,F,3319,0.0,0.0,0.0
249-1,EO,HIS,23,W,1830,0.0,0.0,0.0
249-1,EO,HIS,24,A,162,0.0,0.0,0.0
249-1,EO,HIS,24,F,3687,0.0,0.0,0.0
249-1,EO,HIS,24,W,2077,0.0,0.0,0.0
249-1,EO,HLS,21,F,1278,0.0,0.0,0.0
249-1,EO,HLS,22,A,266,0.0,0.0,0.0
249-1,EO,HLS,22,F,908,0.0,0.0,0.0
249-1,EO,HLS,22,W,1016,0.0,0.0,0.0
249-1,EO,HLS,23,A,491,0.0,0.0,0.0
249-1,EO,HLS,23,F,646,0.0,0.0,0.0
249-1,EO,HLS,23,W,2556,0.0,0.0,0.0
249-1,EO,HLS,24,A,75,0.0,0.0,0.0
249-1,EO,HLS,24,F,458,0.0,0.0,0.0
249-1,EO,HLS,24,W,557,0.0,0.0,0.0
249-1,EO,HON,21,F,777,0.0,0.0,0.0
249-1,EO,HON,22,F,138,0.0,0.0,0.0
249-1,EO,HON,22,W,324,0.0,0.0,0.0
249-1,EO,HON,23,F,1196,0.0,0.0,0.0
